COVID-19 People Fully Vaccinated from 22/Jan/2020 to 21/Sep/2023 
People received vaccine (count)
Source: Our World in Data - https://ourworldindata.org/covid-deaths

1
2021-01-15,Chile,dummy,8304.0,South America
2021-01-15,Costa Rica,dummy,55.0,North America
2021-01-15,Czechia,dummy,19.0,Europe
2021-01-15,Denmark,dummy,546.0,Europe
2021-01-15,England,dummy,424327.0,Europe
2021-01-15,Estonia,dummy,732.0,Europe
2021-01-15,France,dummy,619.0,Europe
2021-01-15,Germany,dummy,977.0,Europe
2021-01-15,Ireland,dummy,145.0,Europe
2021-01-15,Israel,dummy,222648.0,Asia
2021-01-15,Italy,dummy,18.0,Europe
2021-01-15,Latvia,dummy,27.0,Europe
2021-01-15,Mexico,dummy,1958.0,North America
2021-01-15,Northern Ireland,dummy,19474.0,Europe
2021-01-15,Norway,dummy,75.0,Europe
2021-01-15,Portugal,dummy,1456.0,Europe
2021-01-15,Scotland,dummy,3512.0,Europe
2021-01-15,Singapore,dummy,253.0,Asia
2021-01-15,Slovenia,dummy,153.0,Europe
2021-01-15,United Kingdom,dummy,447442.0,Europe
2021-01-15,United States,dummy,2401789.0,North America

22
2021-01-16,Argentina,dummy,55.0,South America
2021-01-16,Belgium,dummy,471.0,Europe
2021-01-16,Canada,dummy,20620.0,North America
2021-01-16,Chile,dummy,8371.0,South America
2021-01-16,Czechia,dummy,23.0,Europe
2021-01-16,England,dummy,426102.0,Europe
2021-01-16,Estonia,dummy,743.0,Europe
2021-01-16,France,dummy,692.0,Europe
2021-01-16,Germany,dummy,2221.0,Europe
2021-01-16,Greece,dummy,2.0,Europe
2021-01-16,Ireland,dummy,148.0,Europe
2021-01-16,Israel,dummy,248655.0,Asia
2021-01-16,Italy,dummy,18.0,Europe
2021-01-16,Latvia,dummy,28.0,Europe
2021-01-16,Mexico,dummy,2221.0,North America
2021-01-16,Northern Ireland,dummy,20174.0,Europe
2021-01-16,Norway,dummy,79.0,Europe
2021-01-16,Scotland,dummy,3657.0,Europe
2021-01-16,Singapore,dummy,267.0,Asia
2021-01-16,Slovenia,dummy,153.0,Europe
2021-01-16,United Kingdom,dummy,450062.0,Europe
2021-01-16,United States,dummy,2474991.0,North America

28
2021-01-17,Argentina,dummy,58.0,South America
2021-01-17,Belgium,dummy,500.0,Europe
2021-01-17,Canada,dummy,21887.0,North America
2021-01-17,Czechia,dummy,658.0,Europe
2021-01-17,England,dummy,427386.0,Europe
2021-01-17,Estonia,dummy,805.0,Europe
2021-01-17,Finland,dummy,5.0,Europe
2021-01-17,France,dummy,746.0,Europe
2021-01-17,Germany,dummy,19304.0,Europe
2021-01-17,Ireland,dummy,153.0,Europe
2021-01-17,Israel,dummy,333253.0,Asia
2021-01-17,Italy,dummy,3010.0,Europe
2021-01-17,Latvia,dummy,33.0,Europe
2021-01-17,Lithuania,dummy,1094.0,Europe
2021-01-17,Mexico,dummy,3434.0,North America
2021-01-17,Northern Ireland,dummy,21016.0,Europe
2021-01-17,Norway,dummy,87.0,Europe
2021-01-17,Oman,dummy,673.0,Asia
2021-01-17,Poland,dummy,671.0,Europe
2021-01-17,Romania,dummy,875.0,Europe
2021-01-17,Scotland,dummy,3698.0,Europe
2021-01-17,Singapore,dummy,280.0,Asia
2021-01-17,Slovakia,dummy,2839.0,Europe
2021-01-17,Slovenia,dummy,154.0,Europe
2021-01-17,Sweden,dummy,62.0,Europe
2021-01-17,United Kingdom,dummy,452301.0,Europe
2021-01-17,United States,dummy,2517266.0,North America
2021-01-17,Wales,dummy,201.0,Europe

32
2021-01-18,Argentina,dummy,62.0,South America
2021-01-18,Belgium,dummy,663.0,Europe
2021-01-18,Bulgaria,dummy,1114.0,Europe
2021-01-18,Canada,dummy,22623.0,North America
2021-01-18,Chile,dummy,8371.0,South America
2021-01-18,Costa Rica,dummy,132.0,North America
2021-01-18,Czechia,dummy,2482.0,Europe
2021-01-18,England,dummy,431136.0,Europe
2021-01-18,Estonia,dummy,1199.0,Europe
2021-01-18,France,dummy,925.0,Europe
2021-01-18,Germany,dummy,35069.0,Europe
2021-01-18,Greece,dummy,423.0,Europe
2021-01-18,Hungary,dummy,1643.0,Europe
2021-01-18,Ireland,dummy,163.0,Europe
2021-01-18,Israel,dummy,453692.0,Asia
2021-01-18,Italy,dummy,8109.0,Europe
2021-01-18,Latvia,dummy,616.0,Europe
2021-01-18,Lithuania,dummy,2779.0,Europe
2021-01-18,Luxembourg,dummy,447.0,Europe
2021-01-18,Mexico,dummy,6546.0,North America
2021-01-18,Northern Ireland,dummy,21579.0,Europe
2021-01-18,Norway,dummy,397.0,Europe
2021-01-18,Oman,dummy,1985.0,Asia
2021-01-18,Poland,dummy,3468.0,Europe
2021-01-18,Romania,dummy,1950.0,Europe
2021-01-18,Scotland,dummy,3886.0,Europe
2021-01-18,Singapore,dummy,295.0,Asia
2021-01-18,Slovenia,dummy,320.0,Europe
2021-01-18,Spain,dummy,2315.0,Europe
2021-01-18,United Kingdom,dummy,456866.0,Europe
2021-01-18,United States,dummy,2746764.0,North America
2021-01-18,Wales,dummy,265.0,Europe

31
2021-01-19,Argentina,dummy,5497.0,South America
2021-01-19,Belgium,dummy,908.0,Europe
2021-01-19,Bulgaria,dummy,3168.0,Europe
